modelID,treatment,rep,day1,day4,day7,day10,day14,day17,day21
CN1574,vehicle,1,0,110,150,261,370,527,841
CN1574,vehicle,2,0,37,41,81,135,320,421
CN1574,vehicle,3,0,42,62,170,209,358,379
CN1574,vehicle,4,0,12,74,105,159,212,322
CN1574,vehicle,5,0,19,65,127,243,248,273
CN1574,vehicle,6,0,15,79,104,164,221,272
CN1574,vehicle,7,0,18,79,93,168,238,257
CN1574,vehicle,8,0,19,77,119,167,219,232
CN1574,DAB+TRA,1,0,72,124,118,127,124,115
CN1574,DAB+TRA,2,0,36,97,90,75,70,41
CN1574,DAB+TRA,3,0,17,24,38,28,37,34
CN1574,DAB+TRA,4,0,14,19,44,42,30,31
CN1574,DAB+TRA,5,0,9,11,17,36,22,27
CN1574,DAB+TRA,6,0,12,19,14,25,20,16
CN1574,DAB+TRA,7,0,9,9,-3,-8,4,6
CN1574,DAB+TRA,8,0,6,-5,-6,-15,-4,-1
CN1574,DAB+TRA+CEL,1,0,32,72,103,74,41,38
CN1574,DAB+TRA+CEL,2,0,36,59,66,62,37,34
CN1574,DAB+TRA+CEL,3,0,22,15,16,13,6,16
CN1574,DAB+TRA+CEL,4,0,15,14,12,1,6,9
CN1574,DAB+TRA+CEL,5,0,34,38,28,27,6,4
CN1574,DAB+TRA+CEL,6,0,5,1,0,-27,0,-1
CN1574,DAB+TRA+CEL,7,0,13,20,3,-1,-5,-5
CN1574,DAB+TRA+CEL,8,0,7,3,6,8,0,-8
CN1574,DAB+TRA+PAN,1,0,44,46,43,45,45,47
CN1574,DAB+TRA+PAN,2,0,11,27,42,28,29,42
CN1574,DAB+TRA+PAN,3,0,22,26,17,15,20,24
CN1574,DAB+TRA+PAN,4,0,4,35,34,56,54,20
CN1574,DAB+TRA+PAN,5,0,13,27,37,34,38,15
CN1574,DAB+TRA+PAN,6,0,-6,11,-8,-12,10,5
CN1574,DAB+TRA+PAN,7,0,-2,10,1,5,8,2
CN1574,DAB+TRA+PAN,8,0,11,1,-5,-7,-5,-2
CN1574,DAB+TRA+PAN+CEL,1,0,14,55,63,43,40,31
CN1574,DAB+TRA+PAN+CEL,2,0,49,53,33,25,40,29
CN1574,DAB+TRA+PAN+CEL,3,0,23,36,24,17,13,14
CN1574,DAB+TRA+PAN+CEL,4,0,27,34,37,17,20,-1
CN1574,DAB+TRA+PAN+CEL,5,0,10,11,2,-12,-15,-2
CN1574,DAB+TRA+PAN+CEL,6,0,-5,-4,-3,0,-4,-5
CN1574,DAB+TRA+PAN+CEL,7,0,10,1,1,-8,-12,-7
CN1574,DAB+TRA+PAN+CEL,8,0,3,2,-9,-13,-15,-11
CN1572,vehicle,1,0,58,158,344,499,n.a.,"1,079"
CN1572,vehicle,2,0,111,149,285,406,n.a.,"1,017"
CN1572,vehicle,3,0,32,79,231,234,n.a.,580
CN1572,vehicle,4,0,50,164,372,471,n.a.,578
CN1572,vehicle,5,0,37,82,226,326,n.a.,496
CN1572,vehicle,6,0,18,43,241,348,n.a.,489
CN1572,vehicle,7,0,23,72,228,255,n.a.,472
CN1572,DAB+TRA,1,0,41,90,137,109,n.a.,77
CN1572,DAB+TRA,2,0,5,-6,18,34,n.a.,44
CN1572,DAB+TRA,3,0,24,37,57,51,n.a.,16
CN1572,DAB+TRA,4,0,10,7,9,8,n.a.,10
CN1572,DAB+TRA,5,0,-4,-20,-12,-6,n.a.,-2
CN1572,DAB+TRA,6,0,-7,-7,-10,-6,n.a.,-27
CN1572,DAB+TRA,7,0,-4,-20,-15,-21,n.a.,-47
CN1572,DAB+TRA+CEL,1,0,71,86,100,100,n.a.,79
CN1572,DAB+TRA+CEL,2,0,18,29,46,36,n.a.,26
CN1572,DAB+TRA+CEL,3,0,25,35,46,35,n.a.,23
CN1572,DAB+TRA+CEL,4,0,94,89,71,88,n.a.,17
CN1572,DAB+TRA+CEL,5,0,0,-4,-13,4,n.a.,11
CN1572,DAB+TRA+CEL,6,0,48,59,77,97,n.a.,-8
CN1572,DAB+TRA+CEL,7,0,5,-1,5,9,n.a.,-39
CN1572,DAB+TRA+PAN,1,0,68,72,99,112,n.a.,174
CN1572,DAB+TRA+PAN,2,0,107,141,161,163,n.a.,131
CN1572,DAB+TRA+PAN,3,0,2,-1,3,5,n.a.,22
CN1572,DAB+TRA+PAN,4,0,8,1,-21,-5,n.a.,20
CN1572,DAB+TRA+PAN,5,0,-1,-10,-9,2,n.a.,9
CN1572,DAB+TRA+PAN,6,0,9,-16,-15,-18,n.a.,-18
CN1572,DAB+TRA+PAN,7,0,19,11,11,11,n.a.,-38
CN1572,DAB+TRA+PAN+CEL,1,0,-2,9,10,3,n.a.,25
CN1572,DAB+TRA+PAN+CEL,2,0,34,69,77,72,n.a.,19
CN1572,DAB+TRA+PAN+CEL,3,0,64,58,47,39,n.a.,-13
CN1572,DAB+TRA+PAN+CEL,4,0,-1,1,8,6,n.a.,-41
CN1572,DAB+TRA+PAN+CEL,5,0,15,72,86,68,n.a.,-51
CN1572,DAB+TRA+PAN+CEL,6,0,-4,-2,-15,-21,n.a.,-66
CN1572,DAB+TRA+PAN+CEL,7,0,-2,-13,-11,-12,n.a.,-75
CN1571,vehicle,1,0,113,272,556,944,"1,354","1,439"
CN1571,vehicle,2,0,93,292,393,777,"1,288","1,349"
CN1571,vehicle,3,0,143,396,577,767,"1,034","1,244"
CN1571,vehicle,4,0,49,250,335,595,900,996
