modelID,treatment,rep,day1,day4,day7,day10,day14,day17,day21
TumourModel1,Treatment1,1,0,144,255,269,340,333,436
TumourModel1,Treatment1,2,0,46,66,86,99,172,186
TumourModel1,Treatment1,3,0,35,53,96,112,126,140
TumourModel1,Treatment2,1,0,38,51,101,145,170,167
TumourModel1,Treatment2,2,0,51,58,82,132,114,166
TumourModel1,Treatment2,3,0,20,29,63,76,90,120
TumourModel1,vehicle,1,0,113,272,556,944,"1,354","1,439"
TumourModel1,vehicle,2,0,93,292,393,777,"1,288","1,349"
TumourModel1,vehicle,3,0,143,396,577,767,"1,034","1,244"
TumourModel2,Treatment1,1,0,41,90,137,109,n.a.,77
TumourModel2,Treatment1,2,0,5,-6,18,34,n.a.,44
TumourModel2,Treatment1,3,0,24,37,57,51,n.a.,16
TumourModel2,Treatment2,1,0,71,86,100,100,n.a.,79
TumourModel2,Treatment2,2,0,18,29,46,36,n.a.,26
TumourModel2,Treatment2,3,0,25,35,46,35,n.a.,23
TumourModel2,vehicle,1,0,58,158,344,499,n.a.,"1,079"
TumourModel2,vehicle,2,0,111,149,285,406,n.a.,"1,017"
TumourModel2,vehicle,3,0,32,79,231,234,n.a.,580
